Sent Code	Accession Bank ID	Genus	Species	Scientific Name	Source or Donor Name	Local Names	Collection Country	Collection Site	Place of collection
W 85	498	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 86	1070	Triticum	aestivum	Triticum aestivum L	Market	قمح بلدي	Saudi Arabia	Mecca	Hail
W 87	1262	Triticum	aestivum	Triticum aestivum L	Farm	قمح قياض	Saudi Arabia	Farm - Taif	Taif
W 88	1243	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Saudi Arabia	Farm - Taif	Beni Malak
W 89	1247	Triticum	aestivum	Triticum aestivum L	Farm	قمح بر (قياض)	Saudi Arabia	Aseer	Belasmar
W 90	1245	Triticum	aestivum	Triticum aestivum L	Farm	قمح بر (مابيه)	Saudi Arabia	Aseer	Belasmar
W 91	1248	Triticum	aestivum	Triticum aestivum L	Farm	قمح بر (صيب)	Saudi Arabia	Aseer	Belasmar
W 92	1273	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Saudi Arabia	Farm - Taif	 Taif
W 93	1311	Triticum	aestivum	Triticum aestivum L	Farm	قمح (لقيمي)	Saudi Arabia	Eastern Province	Om El Araad
W 94	1312	Triticum	aestivum	Triticum aestivum L	Farm	قمح يعبا (عيي)	Saudi Arabia	Eastern Province	Om El Araad
W 95	1291	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Saudi Arabia	Hail	Hail
W 96	188	Triticum	aestivum	Triticum aestivum L	Agri. Directorate	قمح بلدي (صاد)	Saudi Arabia	Riyadh	Al-Kharj
W 97	1503	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح بوني صيب	Saudi Arabia	aseer	Elmaween
W 98	1502	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح صيب	Saudi Arabia	aseer	Abal Belahmar
W 99	1501	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح صيب	Saudi Arabia	aseer	belgarshi-albaha
W 100	1500	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح صيب	Saudi Arabia	aseer	aseer
W 101	1499	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح نقرة	Saudi Arabia	aseer	Tanmyah aseer
W 102	1498	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح صيب	Saudi Arabia	aseer	Elmaween
W 103	236	Triticum	aestivum	Triticum aestivum L	Farm	قمح بر	Saudi Arabia	Al-Jauf	Al-Jauf
W 106	1240	Triticum	aestivum	Triticum aestivum L	Farm	قمح (حنطة)	Saudi Arabia	Taif	Maysaan 
W 107	376	Triticum	aestivum	Triticum aestivum L	Farm	قمح لقيمي	Morocco	Northern Province	Rafha
W 108	495	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 109	10	Triticum	aestivum	Triticum aestivum L	Market	قمح لقيمي اصفر	Saudi Arabia	Al-Qaseem	Al-Bidayei
W 110	7	Triticum	aestivum	Triticum aestivum L	Market	قمح معية	Saudi Arabia	Al-Qaseem	Al-Bidayei
W 111	11	Triticum	aestivum	Triticum aestivum L	Market	قمح الخبز	Saudi Arabia	Al-Qaseem	Al-Bidayei
W 112	9	Triticum	aestivum	Triticum aestivum L	Market	قمح معيه	Saudi Arabia	Al-Qaseem	Al-Bidayei
W 114	15	Triticum	aestivum	Triticum aestivum L	Farm	قمح صما بلدي	Saudi Arabia	Riyadh	Tumair
W 115	16	Triticum	aestivum	Triticum aestivum L	Farm	قمح لقيمي طيارة	Saudi Arabia	Riyadh	Tumair
W 116	13	Triticum	aestivum	Triticum aestivum L	Farm	قمح سريق بلدي	Saudi Arabia	Riyadh	Tumair
W 117	8	Triticum	aestivum	Triticum aestivum L	Market	قمح لقيمي	Saudi Arabia	Al-Qaseem	Buraidah
W 118	1509	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح مابية	Saudi Arabia	Aseer	Beni zebian-albaha
W 119	1508	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح صيب	Saudi Arabia	Aseer	AlSoudah
W 120	1507	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح نقرة	Saudi Arabia	Taif	Taif
W 122	1505	Triticum	aestivum	Triticum aestivum L	Farm	قـمـح نقرة	Saudi Arabia	Aseer	Albaha
W 124	12	Triticum	aestivum	Triticum aestivum L	Farm	قمح صماء	Saudi Arabia	Riyadh	Tumair
W 125	817	Triticum	aestivum	Triticum aestivum L	Farm	قمح (زراعي نجران)	Saudi Arabia	Najran	Najran 
W 126	876	Triticum	aestivum	Triticum aestivum L	Farm	قمح (معياء)	Saudi Arabia	Mecca	Taif
W 127	Local Source 2021 -2022 No. 12	Triticum	aestivum	Triticum aestivum L	Farm	قمح صماء	Saudi Arabia	Riyadh	Tumair
W 128	Local Source 2021 -2022 No.599	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Saudi Arabia	Tabuk	CIMMYT Sample
W 130	Local Source 2021 -2022 No.644	Triticum	aestivum	Triticum aestivum L	ICARDA-113081	قمح الخبز	Saudi Arabia	Unknow	Al-Baha, Aseer
W 132	Local Source 2021 -2022 No.817	Triticum	aestivum	Triticum aestivum L	farm	قمح (زراعي نجران)	Saudi Arabia	Najran	Najran 
W 133	Local Source 2021 -2022 No.876	Triticum	aestivum	Triticum aestivum L	Market	قمح (معياء)	Saudi Arabia	Mecca	Taif
W 134	Local Source 2021 -2022 No.920	Triticum	aestivum	Triticum aestivum L	Market	قمح(حب بر اترالي)	Saudi Arabia	Mecca	Aseer
W 135	Local Source 2021 -2022 No.1172	Triticum	aestivum	Triticum aestivum L	Farm	قمح خبز ربيعي LNM0136	Saudi Arabia	Unknow	Hail
W 136	Local Source 2021 -2022 No.1525	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Saudi Arabia	Unknow	Unknow
W 138	ACSAD 2021/2022 NO.1326	Triticum	aestivum	Triticum aestivum L	ACSAD	قمح طري	ACSAD	نسخة 2019/2020	Syria
W 139	ACSAD 2021/2022 NO.1327	Triticum	aestivum	Triticum aestivum L	ACSAD	قمح طري	ACSAD	نسخة 2019/2020	Syria
W 140	ACSAD 2021/2022 NO.1328	Triticum	aestivum	Triticum aestivum L	ACSAD	قمح طري	ACSAD	نسخة 2019/2020	Syria
W 141	ACSAD 2021/2022 NO.1330	Triticum	aestivum	Triticum aestivum L	ACSAD	قمح طري	ACSAD	نسخة 2019/2021	Syria
W 142	ACSAD 2021/2022 NO.1333	Triticum	aestivum	Triticum aestivum L	ACSAD	قمح طري	ACSAD	نسخة 2019/2022	Syria
W 143	ACSAD 2021/2022 NO.1336	Triticum	aestivum	Triticum aestivum L	ACSAD	قمح طري	ACSAD	نسخة 2019/2023	Syria
W 144	ACSAD 2021/2022 NO.1339	Triticum	aestivum	Triticum aestivum L	ACSAD	قمح طري	ACSAD	نسخة 2019/2024	Syria
W 145	CIMMYT 2021/2022 NO.2014	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	45 IBWSN	Mexico
W 146	CIMMYT 2021/2022 NO.2044	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	45 IBWSN	Mexico
W 147	CIMMYT 2021/2022 NO.2045	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	45 IBWSN	Mexico
W 148	CIMMYT 2021/2022 NO.2073	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	45 IBWSN	Mexico
W 149	CIMMYT 2021/2022 NO.2074	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	45 IBWSN	Mexico
W 150	CIMMYT 2021/2022 NO.2081	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	45 IBWSN	Mexico
W 151	CIMMYT 2021/2022 NO.2201	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 152	CIMMYT2021-2022 NO.2202	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 153	CIMMYT2021-2022 NO.2203	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 154	CIMMYT2021-2022 NO.2204	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 155	CIMMYT2021-2022 NO.2205	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 156	CIMMYT2021-2022 NO.2206	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 157	CIMMYT2021-2022 NO.2208	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 158	CIMMYT2021-2022 NO.2166	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 159	CIMMYT2021-2022 NO.2177	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 160	CIMMYT2021-2022 NO.2186	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 161	CIMMYT2021-2022 NO.2189	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 162	CIMMYT2021-2022 NO.2193	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 163	CIMMYT2021-2022 NO.2198	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 164	CIMMYT2021-2022 NO.2208	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
